context,answer,question
"Precipitation is moderate and somewhat evenly distributed throughout the year, although the warmer months such as May and June average more, averaging 33.5 inches (850 mm) annually, but historically ranging from 20.49 in (520 mm) in 1963 to 47.70 in (1,212 mm) in 2011. Snowfall, which typically falls in measurable amounts between November 15 through April 4 (occasionally in October and very rarely in May), averages 42.5 inches (108 cm) per season, although historically ranging from 11.5 in (29 cm) in 1881−82 to 94.9 in (241 cm) in 2013−14. A thick snowpack is not often seen, with an average of only 27.5 days with 3 in (7.6 cm) or more of snow cover. Thunderstorms are frequent in the Detroit area. These usually occur during spring and summer.",42.5,How many inches of snow does Detroit get on average?
"The first elevator shaft preceded the first elevator by four years. Construction for Peter Cooper's Cooper Union Foundation building in New York began in 1853. An elevator shaft was included in the design, because Cooper was confident that a safe passenger elevator would soon be invented. The shaft was cylindrical because Cooper thought it was the most efficient design. Later, Otis designed a special elevator for the building. Today the Otis Elevator Company, now a subsidiary of United Technologies Corporation, is the world's largest manufacturer of vertical transport systems.",United Technologies Corporation,The Otis Elevator Company is today a subsidiary of what major corporation?
"The notion that all Polish nobles were social equals, regardless of their financial status or offices held, is enshrined in a traditional Polish saying:",social equals,What was the notion for all polish nobles?
"Marine mammals are many, such as the dolphins, porpoises and whales, which are seen here during the migration period from December till May. Turtles are a common sight along the coastline of the island. They are a protected species and in the endangered list. It is stated that it will take 15–50 years for this species to attain reproductive age. Though they live in the sea, the females come to the shore to lay eggs and are protected by private societies. Three species of turtles are particularly notable. These are: The leatherback sea turtles which have leather skin instead of a shell and are the largest of the type found here, some times measuring a much as 3 m (average is about 1.5 m) and weighing about 450 kg (jellyfish is their favourite diet); the hawksbill turtles, which have hawk-like beaks and found near reefs, generally about 90 cm in diameter and weigh about 60 kg and their diet consists of crabs and snails; and the green turtles, herbivores which have rounded heads, generally about 90 cm in diameter and live amidst tall sea grasses.",May,When is the end of the dolphin migration period in St. Barts?
"The court noted that it ""is a matter of history that this very practice of establishing governmentally composed prayers for religious services was one of the reasons which caused many of our early colonists to leave England and seek religious freedom in America."" The lone dissenter, Justice Potter Stewart, objected to the court's embrace of the ""wall of separation"" metaphor: ""I think that the Court's task, in this as in all areas of constitutional adjudication, is not responsibly aided by the uncritical invocation of metaphors like the ""wall of separation,"" a phrase nowhere to be found in the Constitution.""",governmentally composed prayers for religious services,What was one of the reasons early colonists left England to seek religious freedom in America?
"Between 1892, when Harvard and Yale met in one of the first intercollegiate debates, and 1909, the year of the first Triangular Debate of Harvard, Yale, and Princeton, the rhetoric, symbolism, and metaphors used in athletics were used to frame these early debates. Debates were covered on front pages of college newspapers and emphasized in yearbooks, and team members even received the equivalent of athletic letters for their jackets. There even were rallies sending off the debating teams to matches. Yet, the debates never attained the broad appeal that athletics enjoyed. One reason may be that debates do not have a clear winner, as is the case in sports, and that scoring is subjective. In addition, with late 19th-century concerns about the impact of modern life on the human body, athletics offered hope that neither the individual nor the society was coming apart.",1892,When was the first debate between Harvard and Yale?
"The abbey became the coronation site of Norman kings. None were buried there until Henry III, intensely devoted to the cult of the Confessor, rebuilt the abbey in Anglo-French Gothic style as a shrine to venerate King Edward the Confessor and as a suitably regal setting for Henry's own tomb, under the highest Gothic nave in England. The Confessor's shrine subsequently played a great part in his canonisation. The work continued between 1245 and 1517 and was largely finished by the architect Henry Yevele in the reign of Richard II. Henry III also commissioned unique Cosmati pavement in front of the High Altar (the pavement has recently undergone a major cleaning and conservation programme and was re-dedicated by the Dean at a service on 21 May 2010).",Cosmati,What kind of pavement was commissioned for in front of the High Altar?
"The Late Triassic spans from 237 million to 200 million years ago. Following the bloom of the Middle Triassic, the Late Triassic featured frequent heat spells, as well as moderate precipitation (10-20 inches per year). The recent warming led to a boom of reptilian evolution on land as the first true dinosaurs evolve, as well as pterosaurs. All this climatic change, however, resulted in a large die-out known as the Triassic-Jurassic extinction event, in which all archosaurs (excluding ancient crocodiles), most synapsids, and almost all large amphibians went extinct, as well as 34% of marine life in the fourth mass extinction event of the world. The cause is debatable.",heat spells,"Besides moderate precipitation, what weather conditions did the Late Triassic have?"
"Southern Europe's flora is that of the Mediterranean Region, one of the phytochoria recognized by Armen Takhtajan. The Mediterranean and Submediterranean climate regions in Europe are found in much of Southern Europe, mainly in Southern Portugal, most of Spain, the southern coast of France, Italy, the Croatian coast, much of Bosnia, Montenegro, Albania, Macedonia, Greece, and the Mediterranean islands.",phytochoria,What is a word that can be used to describe the plant life of southern Europe?
"Panels are individual images containing a segment of action, often surrounded by a border. Prime moments in a narrative are broken down into panels via a process called encapsulation. The reader puts the pieces together via the process of closure by using background knowledge and an understanding of panel relations to combine panels mentally into events. The size, shape, and arrangement of panels each affect the timing and pacing of the narrative. The contents of a panel may be asynchronous, with events depicted in the same image not necessarily occurring at the same time.",The reader,Who puts the panels together using closure?
"On December 3, 2013, Adidas officially confirmed a new shoe collaboration deal with West. After months of anticipation and rumors, West confirmed the release of the Adidas Yeezy Boosts with a Twitter announcement directing fans to the domain yeezy.supply. In 2015, West unveiled his Yeezy Season clothing line, premiering Season 1 in collaboration with Adidas early in the year. The release of the Yeezy Boosts and the full Adidas collaboration was showcased in New York City on February 12, 2015, with free streaming to 50 cinemas in 13 countries around the world. An initial release of the Adidas Yeezy Boosts was limited to 9000 pairs to be available only in New York City via the Adidas smartphone app; the Adidas Yeezy Boosts were sold out within 10 minutes. The shoes released worldwide on February 28, 2015, were limited to select boutique stores and the Adidas UK stores. He followed with Season 2 later that year at New York Fashion Week. On February 11, West premiered his Yeezy Season 3 clothing line at Madison Square Garden in conjunction with the previewing of his album The Life of Pablo.",Adidas Yeezy Boosts,What were the shoes designed by Kanye and released by Adidas called?
"South Slavic dialects historically formed a continuum. The turbulent history of the area, particularly due to expansion of the Ottoman Empire, resulted in a patchwork of dialectal and religious differences. Due to population migrations, Shtokavian became the most widespread in the western Balkans, intruding westwards into the area previously occupied by Chakavian and Kajkavian (which further blend into Slovenian in the northwest). Bosniaks, Croats and Serbs differ in religion and were historically often part of different cultural circles, although a large part of the nations have lived side by side under foreign overlords. During that period, the language was referred to under a variety of names, such as ""Slavic"", ""Illyrian"", or according to region, ""Bosnian"", ""Serbian"" and ""Croatian"", the latter often in combination with ""Slavonian"" or ""Dalmatian"".",western Balkans,In which geographical region did Shtokavian become wide spread?
"In 2003, it was reported that one third of female academics ""believe that discrimination or bullying by managers has held back their careers"". It was said then that ""A spokesman for Imperial said the college was acting on the recommendations and had already made changes"". Nevertheless, allegations of bullying have continued: in 2007, concerns were raised about the methods that were being used to fire people in the Faculty of Medicine. New President of Imperial College, Alice Gast says she sees bright lights in the horizon for female careers at Imperial College London.",2003,In which year were these allegations raised?
"At the 2007, 2008, and 2009 Consumer Electronics Shows, Microsoft had announced that IPTV services would soon be made available to use through the Xbox 360. In 2007, Microsoft chairman Bill Gates stated that IPTV on Xbox 360 was expected to be available to consumers by the holiday season, using the Microsoft TV IPTV Edition platform. In 2008, Gates and president of Entertainment & Devices Robbie Bach announced a partnership with BT in the United Kingdom, in which the BT Vision advanced TV service, using the newer Microsoft Mediaroom IPTV platform, would be accessible via Xbox 360, planned for the middle of the year. BT Vision's DVR-based features would not be available on Xbox 360 due to limited hard drive capacity. In 2010, while announcing version 2.0 of Microsoft Mediaroom, Microsoft CEO Steve Ballmer mentioned that AT&T's U-verse IPTV service would enable Xbox 360s to be used as set-top boxes later in the year. As of January 2010, IPTV on Xbox 360 has yet to be deployed beyond limited trials.",Robbie Bach,Who was Microsoft's president of Entertainment & Devices in 2008?
"A common cause of software failure (real or perceived) is a lack of its compatibility with other application software, operating systems (or operating system versions, old or new), or target environments that differ greatly from the original (such as a terminal or GUI application intended to be run on the desktop now being required to become a web application, which must render in a web browser). For example, in the case of a lack of backward compatibility, this can occur because the programmers develop and test software only on the latest version of the target environment, which not all users may be running. This results in the unintended consequence that the latest work may not function on earlier versions of the target environment, or on older hardware that earlier versions of the target environment was capable of using. Sometimes such issues can be fixed by proactively abstracting operating system functionality into a separate program module or library.",lack of backward compatibility,What do developers commonly do when creating software that can lead to failures?
"Application of the term ""Indian"" originated with Christopher Columbus, who, in his search for Asia, thought that he had arrived in the East Indies. The Americas came to be known as the ""West Indies"", a name still used to refer to the islands of the Caribbean Sea. This led to the names ""Indies"" and ""Indian"", which implied some kind of racial or cultural unity among the aboriginal peoples of the Americas. This unifying concept, codified in law, religion, and politics, was not originally accepted by indigenous peoples but has been embraced by many over the last two centuries.[citation needed] Even though the term ""Indian"" does not include the Aleuts, Inuit, or Yupik peoples, these groups are considered indigenous peoples of the Americas.",West Indies,"Because of Columbus' mistake, the Americas came to be known as what?"
"On election day (6 May 2010), The Sun urged its readers to vote for David Cameron's ""modern and positive"" Conservatives in order to save Britain from ""disaster"" which the paper thought the country would face if the Labour government was re-elected. The election ended in the first hung parliament after an election for 36 years, with the Tories gaining the most seats and votes but being 20 seats short of an overall majority. They finally came to power on 11 May when Gordon Brown stepped down as prime minister, paving the way for David Cameron to become prime minister by forming a coalition with the Liberal Democrats.",David Cameron,Who did The Sun advocate for the 2010 election?
"Coop et al. (2009) found ""a selected allele that strongly differentiates the French from both the Yoruba and Han could be strongly clinal across Europe, or at high frequency in Europe and absent elsewhere, or follow any other distribution according to the geographic nature of the selective pressure. However, we see that the global geographic distributions of these putatively selected alleles are largely determined simply by their frequencies in Yoruba, French and Han (Figure 3). The global distributions fall into three major geographic patterns that we interpret as non-African sweeps, west Eurasian sweeps and East Asian sweeps, respectively.""",2009,When did Coop and others find out something about a selected allele?
"In some modern day nations and regions in which Sharia law is ostensibly practiced, heresy remains an offense punishable by death. One example is the 1989 fatwa issued by the government of Iran, offering a substantial bounty for anyone who succeeds in the assassination of author Salman Rushdie, whose writings were declared as heretical.",Sharia law,What type of law is still in practice in which heresy results in execution?
"The Han-era Chinese used bronze and iron to make a range of weapons, culinary tools, carpenters' tools and domestic wares. A significant product of these improved iron-smelting techniques was the manufacture of new agricultural tools. The three-legged iron seed drill, invented by the 2nd century BC, enabled farmers to carefully plant crops in rows instead of casting seeds out by hand. The heavy moldboard iron plow, also invented during the Han dynasty, required only one man to control it, two oxen to pull it. It had three plowshares, a seed box for the drills, a tool which turned down the soil and could sow roughly 45,730 m2 (11.3 acres) of land in a single day.",improved iron-smelting techniques,What methodology allowed the production of new agricultural tools?
"For collectable or nostalgia purposes, or for the benefit of higher-quality audio playback provided by the 78 rpm speed with newer vinyl records and their lightweight stylus pickups, a small number of 78 rpm records have been released since the major labels ceased production. One of the first attempts at this was in the 1950s, when inventor Ewing Dunbar Nunn founded the label Audiophile Records, which released, in addition to standard 33 1/3 rpm LPs, 78 rpm-mastered albums that were microgroove and pressed on vinyl (as opposed to traditional 78s, with their shellac composition and wider 3-mil sized grooves). This was done by the label mainly to take advantage of the wider audio frequency response that faster speeds like 78 rpm can provide for vinyl microgroove records, hence the label's name (obviously catering to the audiophiles of the 1950s ""hi-fi"" era, when stereo gear could provide a much wider range of audio than before). Also in the late 1950s, Bell Records released a few budget-priced 7"" microgrooved records at 78 rpm.",Bell Records,"Who released 7"" microgrooved records in the 1950s?"
"Following Kammu's death in 806 and a succession struggle among his sons, two new offices were established in an effort to adjust the Taika-Taihō administrative structure. Through the new Emperor's Private Office, the emperor could issue administrative edicts more directly and with more self-assurance than before. The new Metropolitan Police Board replaced the largely ceremonial imperial guard units. While these two offices strengthened the emperor's position temporarily, soon they and other Chinese-style structures were bypassed in the developing state. In 838 the end of the imperial-sanctioned missions to Tang China, which had begun in 630, marked the effective end of Chinese influence. Tang China was in a state of decline, and Chinese Buddhists were severely persecuted, undermining Japanese respect for Chinese institutions. Japan began to turn inward.",806,In what year did Emperor Kanmu die?
"In an influential 1988 paper, Timothy Rowe defined Mammalia phylogenetically as the crown group mammals, the clade consisting of the most recent common ancestor of living monotremes (echidnas and platypuses) and therian mammals (marsupials and placentals) and all descendants of that ancestor. Since this ancestor lived in the Jurassic period, Rowe's definition excludes all animals from the earlier Triassic, despite the fact that Triassic fossils in the Haramiyida have been referred to the Mammalia since the mid-19th century.",Triassic,"By Rowe's definition, when did he start to exclude animals?"
"From 7 September 1940, one year into the war, London was bombed by the Luftwaffe for 57 consecutive nights. More than one million London houses were destroyed or damaged and more than 40,000 civilians were killed, almost half of them in London. Ports and industrial centres outside London were also attacked. The main Atlantic sea port of Liverpool was bombed, causing nearly 4,000 deaths within the Merseyside area during the war. The North Sea port of Hull, a convenient and easily found target or secondary target for bombers unable to locate their primary targets, was subjected to 86 raids in the Hull Blitz during the war, with a conservative estimate of 1,200 civilians killed and 95 percent of its housing stock destroyed or damaged. Other ports including Bristol, Cardiff, Portsmouth, Plymouth, Southampton and Swansea were also bombed, as were the industrial cities of Birmingham, Belfast, Coventry, Glasgow, Manchester and Sheffield. Birmingham and Coventry were chosen because of the Spitfire and tank factories in Birmingham and the many munitions factories in Coventry. The city centre of Coventry was almost destroyed, as was Coventry Cathedral.",57 consecutive nights,How many nights did the Luftwaffe bomb London?
"187th Street crosses Washington Heights and running from Laurel Hill Terrace in the east to Chittenden Avenue in the west near the George Washington Bridge and Hudson River. The street is interrupted by a long set of stairs east of Fort Washington Avenue leading to the Broadway valley. West of there, it is mostly lined with store fronts and serves as a main shopping district for the Hudson Heights neighborhood.",stairs,What is 187th Street interrupted by?
"Snapshots usually become available more than six months after they are archived or, in some cases, even later; it can take twenty-four months or longer.  The frequency of snapshots is variable, so not all tracked web site updates are recorded. Sometimes there are intervals of several weeks or years between snapshots.",variable,What term characterizes the rate at which snapshots are made of websites?
"At least where the digital audio tracks were concerned, the sound quality was unsurpassed at the time compared to consumer videotape, but the quality of the analog soundtracks varied greatly depending on the disc and, sometimes, the player. Many early and lower-end LD players had poor analog audio components, and many early discs had poorly mastered analog audio tracks, making digital soundtracks in any form most desirable to serious enthusiasts. Early DiscoVision and LaserDisc titles lacked the digital audio option, but many of those movies received digital sound in later re-issues by Universal, and the quality of analog audio tracks generally got far better as time went on. Many discs that had originally carried old analog stereo tracks received new Dolby Stereo and Dolby Surround tracks instead, often in addition to digital tracks, helping boost sound quality. Later analog discs also applied CX Noise Reduction, which improved the signal-noise ratio of their audio.",varied greatly,Was sound quality from disc to disc and between players consistent or varied?
"While the Baptists in total (counting both blacks and whites) have maintained the majority in this part of the country (known as the Bible Belt), the population in North Carolina practices a wide variety of faiths, including Judaism, Islam, Baha'i, Buddhism, and Hinduism. As of 2010 the Southern Baptist Church was the biggest denomination, with 4,241 churches and 1,513,000 members; the second largest was the United Methodist Church, with 660,000 members and 1,923 churches. The third was the Roman Catholic Church, with 428,000 members in 190 congregations. The fourth greatest was the Presbyterian Church (USA), with 186,000 members and 710 congregations; this denomination was brought by Scots-Irish immigrants who settled the backcountry in the colonial era.",Baptists,What religion holds the majority in the Bible Belt?
"In separate testimony to Financial Crisis Inquiry Commission, officers of Clayton Holdings—the largest residential loan due diligence and securitization surveillance company in the United States and Europe—testified that Clayton's review of over 900,000 mortgages issued from January 2006 to June 2007 revealed that scarcely 54% of the loans met their originators’ underwriting standards. The analysis (conducted on behalf of 23 investment and commercial banks, including 7 ""too big to fail"" banks) additionally showed that 28% of the sampled loans did not meet the minimal standards of any issuer. Clayton's analysis further showed that 39% of these loans (i.e. those not meeting any issuer's minimal underwriting standards) were subsequently securitized and sold to investors.","900,000",How many mortgage loans did Clayton Holdings review in their analysis?
"In 1984, each league had two divisions, East and West. The divisional winners met in a best-of-5 series to advance to the World Series, in a ""2–3"" format, first two games were played at the home of the team who did not have home field advantage. Then the last three games were played at the home of the team, with home field advantage. Thus the first two games were played at Wrigley Field and the next three at the home of their opponents, San Diego. A common and unfounded myth is that since Wrigley Field did not have lights at that time the National League decided to give the home field advantage to the winner of the NL West. In fact, home field advantage had rotated between the winners of the East and West since 1969 when the league expanded. In even numbered years, the NL West had home field advantage. In odd numbered years, the NL East had home field advantage. Since the NL East winners had had home field advantage in 1983, the NL West winners were entitled to it.",1984,In what year did the league have two divisions? 
"Once food leaves the crop, it passes to the midgut (element 13 in numbered diagram), also known as the mesenteron, where the majority of digestion takes place. Microscopic projections from the midgut wall, called microvilli, increase the surface area of the wall and allow more nutrients to be absorbed; they tend to be close to the origin of the midgut. In some insects, the role of the microvilli and where they are located may vary. For example, specialized microvilli producing digestive enzymes may more likely be near the end of the midgut, and absorption near the origin or beginning of the midgut.:32",Microscopic,What kind of projections are in the midgut wall?
"Presbyterian history is part of the history of Christianity, but the beginning of Presbyterianism as a distinct movement occurred during the 16th-century Protestant Reformation. As the Catholic Church resisted the reformers, several different theological movements splintered from the Church and bore different denominations. Presbyterianism was especially influenced by the French theologian John Calvin, who is credited with the development of Reformed theology, and the work of John Knox, a Scotsman who studied with Calvin in Geneva, Switzerland and brought his teachings back to Scotland. The Presbyterian church traces its ancestry back primarily to England and Scotland. In August 1560 the Parliament of Scotland adopted the Scots Confession as the creed of the Scottish Kingdom. In December 1560, the First Book of Discipline was published, outlining important doctrinal issues but also establishing regulations for church government, including the creation of ten ecclesiastical districts with appointed superintendents which later became known as presbyteries.",1560,In what year did the parliament of Scotland adopt the Scots Confession?
"The Football Association Premier League Ltd (FAPL) is operated as a corporation and is owned by the 20 member clubs. Each club is a shareholder, with one vote each on issues such as rule changes and contracts. The clubs elect a chairman, chief executive, and board of directors to oversee the daily operations of the league. The current chairman is Sir Dave Richards, who was appointed in April 1999, and the chief executive is Richard Scudamore, appointed in November 1999. The former chairman and chief executive, John Quinton and Peter Leaver, were forced to resign in March 1999 after awarding consultancy contracts to former Sky executives Sam Chisholm and David Chance. The Football Association is not directly involved in the day-to-day operations of the Premier League, but has veto power as a special shareholder during the election of the chairman and chief executive and when new rules are adopted by the league.",Sir Dave Richards,Who is the current chairman of the Premier League?
"Prince Hall Freemasonry exists because of the refusal of early American lodges to admit African-Americans. In 1775, an African-American named Prince Hall, along with fourteen other African-Americans, was initiated into a British military lodge with a warrant from the Grand Lodge of Ireland, having failed to obtain admission from the other lodges in Boston. When the military Lodge left North America, those fifteen men were given the authority to meet as a Lodge, but not to initiate Masons. In 1784, these individuals obtained a Warrant from the Premier Grand Lodge of England (GLE) and formed African Lodge, Number 459. When the UGLE was formed in 1813, all U.S.-based Lodges were stricken from their rolls – due largely to the War of 1812. Thus, separated from both UGLE and any concordantly recognised U.S. Grand Lodge, African Lodge re-titled itself as the African Lodge, Number 1 – and became a de facto ""Grand Lodge"" (this Lodge is not to be confused with the various Grand Lodges on the Continent of Africa). As with the rest of U.S. Freemasonry, Prince Hall Freemasonry soon grew and organised on a Grand Lodge system for each state.","became a de facto ""Grand Lodge""","What was Africian Lodge, Number 1 considered after they changed from Africian Lodge, Number 459?"
"Russia experienced territorial growth through the 17th century, which was the age of Cossacks. Cossacks were warriors organized into military communities, resembling pirates and pioneers of the New World. In 1648, the peasants of Ukraine joined the Zaporozhian Cossacks in rebellion against Poland-Lithuania during the Khmelnytsky Uprising, because of the social and religious oppression they suffered under Polish rule. In 1654 the Ukrainian leader, Bohdan Khmelnytsky, offered to place Ukraine under the protection of the Russian Tsar, Aleksey I. Aleksey's acceptance of this offer led to another Russo-Polish War (1654–1667). Finally, Ukraine was split along the river Dnieper, leaving the western part (or Right-bank Ukraine) under Polish rule and eastern part (Left-bank Ukraine and Kiev) under Russian. Later, in 1670–71 the Don Cossacks led by Stenka Razin initiated a major uprising in the Volga region, but the Tsar's troops were successful in defeating the rebels. In the east, the rapid Russian exploration and colonisation of the huge territories of Siberia was led mostly by Cossacks hunting for valuable furs and ivory. Russian explorers pushed eastward primarily along the Siberian river routes, and by the mid-17th century there were Russian settlements in the Eastern Siberia, on the Chukchi Peninsula, along the Amur River, and on the Pacific coast. In 1648 the Bering Strait between Asia and North America was passed for the first time by Fedot Popov and Semyon Dezhnyov.",the 17th century,When did Russia experience territorial growth?
"When the board has no embedded components it is more correctly called a printed wiring board (PWB) or etched wiring board. However, the term printed wiring board has fallen into disuse. A PCB populated with electronic components is called a printed circuit assembly (PCA), printed circuit board assembly or PCB assembly (PCBA). The IPC preferred term for assembled boards is circuit card assembly (CCA), and for assembled backplanes it is backplane assemblies. The term PCB is used informally both for bare and assembled boards.",CCA,What abbreviation would the IPC use for an assembled circuit board?
"In many ways, the Paleocene continued processes that had begun during the late Cretaceous Period. During the Paleocene, the continents continued to drift toward their present positions. Supercontinent Laurasia had not yet separated into three continents. Europe and Greenland were still connected. North America and Asia were still intermittently joined by a land bridge, while Greenland and North America were beginning to separate. The Laramide orogeny of the late Cretaceous continued to uplift the Rocky Mountains in the American west, which ended in the succeeding epoch. South and North America remained separated by equatorial seas (they joined during the Neogene); the components of the former southern supercontinent Gondwana continued to split apart, with Africa, South America, Antarctica and Australia pulling away from each other. Africa was heading north toward Europe, slowly closing the Tethys Ocean, and India began its migration to Asia that would lead to a tectonic collision and the formation of the Himalayas.",North America,In the Paleocene period Greenland was joined to which continent?
"The strategy behind the formation of the Warsaw Pact was driven by the desire of the Soviet Union to dominate Central and Eastern Europe. This policy was driven by ideological and geostrategic reasons. Ideologically, the Soviet Union arrogated the right to define socialism and communism and act as the leader of the global socialist movement. A corollary to this idea was the necessity of intervention if a country appeared to be violating core socialist ideas and Communist Party functions, which was explicitly stated in the Brezhnev Doctrine. Geostrategic principles also drove the Soviet Union to prevent invasion of its territory by Western European powers.",Brezhnev,Which Soviet leader formed doctrine aimed at keeping socialist satellite nations in line?
"While each wrestling match is ostensibly a competition of athletics and strategy, the goal of each match from a business standpoint is to excite and entertain the audience. Although the competition is staged, dramatic emphasis can be utilized to draw out the most intense reaction from the audience. Heightened interest results in higher attendance rates, increased ticket sales, higher ratings on television broadcasts (which result in greater ad revenue), higher pay-per-view buyrates, and sales of branded merchandise and recorded video footage. All of these contribute to the profit of the promotion company.",Heightened interest,Higher attendance and more ticket sales can be the result of what?
"Small-scale artisanal mining of gold is another source of dangerous child labour in poor rural areas in certain parts of the world. This form of mining uses labour-intensive and low-tech methods. It is informal sector of the economy. Human Rights Watch group estimates that about 12 percent of global gold production comes from artisanal mines. In west Africa, in countries such as Mali - the third largest exporter of gold in Africa - between 20,000 and 40,000 children work in artisanal mining. Locally known as orpaillage, children as young as 6 years old work with their families. These children and families suffer chronic exposure to toxic chemicals including mercury, and do hazardous work such as digging shafts and working underground, pulling up, carrying and crushing the ore. The poor work practices harm the long term health of children, as well as release hundreds of tons of mercury every year into local rivers, ground water and lakes. Gold is important to the economy of Mali and Ghana. For Mali, it is the second largest earner of its export revenue. For many poor families with children, it is the primary and sometimes the only source of income.",gold,What is another source of mining dangerous to children workers?
"Larger SAMs may be deployed in fixed launchers, but can be towed/re-deployed at will. The SAMs launched by individuals are known in the United States as the Man-Portable Air Defence Systems (MANPADS). MANPADS of the former Soviet Union have been exported around the World, and can be found in use by many armed forces. Targets for non-ManPAD SAMs will usually be acquired by air-search radar, then tracked before/while a SAM is ""locked-on"" and then fired. Potential targets, if they are military aircraft, will be identified as friend or foe before being engaged. The developments in the latest and relatively cheap short-range missiles have begun to replace autocannons in this role.",Larger SAMs,What can be deployed in fixed launchers but re-deploy at will?
"The U.S. Agency for International Development (USAID), an independent agency under the Department of State established in place of the Marshall Plan for the purpose of determining and distributing foreign aid, does not use the term Near East. Its definition of Middle East corresponds to that of the State Department, which officially prefers the term Near East.",the term Near East,What term does USAID not use?
"As of the 2000 census other Christian minority communities include Neo-Pietism (0.44%), Pentecostalism (0.28%, mostly incorporated in the Schweizer Pfingstmission), Methodism (0.13%), the New Apostolic Church (0.45%), Jehovah's Witnesses (0.28%), other Protestant denominations (0.20%), the Old Catholic Church (0.18%), other Christian denominations (0.20%). Non-Christian religions are Hinduism (0.38%), Buddhism (0.29%), Judaism (0.25%) and others (0.11%); 4.3% did not make a statement. 21.4% in 2012 declared themselves as unchurched i.e. not affiliated with any church or other religious body (Agnostic, Atheist, or just not related to any official religion).",21.4%,What percentage of Swiss people claimed no church affiliation in 2012?
"In 1980, the Soviet Union, which then ruled his birthplace Bukhara, celebrated the thousandth anniversary of Avicenna's birth by circulating various commemorative stamps with artistic illustrations, and by erecting a bust of Avicenna based on anthropological research by Soviet scholars.[citation needed] Near his birthplace in Qishlak Afshona, some 25 km (16 mi) north of Bukhara, a training college for medical staff has been named for him.[year needed] On the grounds is a museum dedicated to his life, times and work.[citation needed]",the Soviet Union,What superpower in 1980 created a stamp in honor of Avicenna?
"Theophrastus wrote some of the earliest descriptions of plants and animals, establishing the first taxonomy and looking at minerals in terms of their properties such as hardness. Pliny the Elder produced what is one of the largest encyclopedias of the natural world in 77 AD, and must be regarded as the rightful successor to Theophrastus. For example, he accurately describes the octahedral shape of the diamond, and proceeds to mention that diamond dust is used by engravers to cut and polish other gems owing to its great hardness. His recognition of the importance of crystal shape is a precursor to modern crystallography, while mention of numerous other minerals presages mineralogy. He also recognises that other minerals have characteristic crystal shapes, but in one example, confuses the crystal habit with the work of lapidaries. He was also the first to recognise that amber was a fossilized resin from pine trees because he had seen samples with trapped insects within them.",the first taxonomy,What classification guide did Theophrastus create?
"At the end of the 16th century, the Aussa Sultanate was established in the Denkel lowlands of Eritrea. The polity had come into existence in 1577, when Muhammed Jasa moved his capital from Harar to Aussa (Asaita) with the split of the Adal Sultanate into Aussa and the Sultanate of Harar. At some point after 1672, Aussa declined in conjunction with Imam Umar Din bin Adam's recorded ascension to the throne. In 1734, the Afar leader Kedafu, head of the Mudaito clan, seized power and established the Mudaito Dynasty. This marked the start of a new and more sophisticated polity that would last into the colonial period.",Mudaito Dynasty,What did Kedafu establish in 1734?
"In the 1950s, as a young woman at the start of her reign, Elizabeth was depicted as a glamorous ""fairytale Queen"". After the trauma of the Second World War, it was a time of hope, a period of progress and achievement heralding a ""new Elizabethan age"". Lord Altrincham's accusation in 1957 that her speeches sounded like those of a ""priggish schoolgirl"" was an extremely rare criticism. In the late 1960s, attempts to portray a more modern image of the monarchy were made in the television documentary Royal Family and by televising Prince Charles's investiture as Prince of Wales. In public, she took to wearing mostly solid-colour overcoats and decorative hats, which allow her to be seen easily in a crowd.","""fairytale Queen""",As what was Elizabeth portrayed in the 1950s?
"In early 2001, Apple began shipping computers with CD-RW drives and emphasized the Mac's ability to play DVDs by including DVD-ROM and DVD-RAM drives as standard. Steve Jobs admitted that Apple had been ""late to the party"" on writable CD technology, but felt that Macs could become a ""digital hub"" that linked and enabled an ""emerging digital lifestyle"". Apple would later introduce an update to its iTunes music player software that enabled it to burn CDs, along with a controversial ""Rip, Mix, Burn"" advertising campaign that some felt encouraged media piracy. This accompanied the release of the iPod, Apple's first successful handheld device. Apple continued to launch products, such as the unsuccessful Power Mac G4 Cube, the education-oriented eMac, and the titanium (and later aluminium) PowerBook G4 laptop for professionals.",early 2001,When did Apple begin shipping computers with CD-RW drives?
"The initial near-complete MPEG-1 standard (parts 1, 2 and 3) was publicly available on 6 December 1991 as ISO CD 11172. In most countries, patents cannot be filed after prior art has been made public, and patents expire 20 years after the initial filing date, which can be up to 12 months later for filings in other countries. As a result, patents required to implement MP3 expired in most countries by December 2012, 21 years after the publication of ISO CD 11172.",December 2012,When did patents required to implement MP3 expire in most countries?
"Sichuan is one of the major industrial centers of China. In addition to heavy industries such as coal, energy, iron and steel, the province has also established a light industrial sector comprising building materials, wood processing, food and silk processing. Chengdu and Mianyang are the production centers for textiles and electronics products. Deyang, Panzhihua, and Yibin are the production centers for machinery, metallurgical industries, and wine, respectively. Sichuan's wine production accounted for 21.9% of the country’s total production in 2000.",Panzhihua,Which city in Sichuan is known for its metallurgical industries?
